<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^DJI,D,20000103,000000,11501.85,11641.07,11180.98,11357.51,931800000,0
^DJI,D,20000104,000000,11349.75,11358.44,10907.03,10997.93,1009000000,0
^DJI,D,20000105,000000,10989.37,11337.65,10862.66,11122.65,1085500000,0
^DJI,D,20000106,000000,11113.37,11447.79,10963.18,11253.26,1092300000,0
^DJI,D,20000107,000000,11247.06,11655.65,11168.26,11522.56,1225200000,0
^DJI,D,20000110,000000,11532.48,11765.17,11427.00,11572.20,1064800000,0
^DJI,D,20000111,000000,11568.47,11748.11,11398.30,11511.08,1014000000,0
^DJI,D,20000112,000000,11506.73,11751.83,11385.74,11551.10,974600000,0
^DJI,D,20000113,000000,11558.24,11761.14,11421.42,11582.43,1030400000,0
^DJI,D,20000114,000000,11619.35,11908.50,11506.42,11722.98,1085900000,0
^DJI,D,20000118,000000,11719.19,11834.67,11397.22,11560.72,1056700000,0
^DJI,D,20000119,000000,11535.24,11710.57,11320.28,11489.36,1087800000,0
^DJI,D,20000120,000000,11490.29,11654.72,11194.32,11351.30,1100700000,0
^DJI,D,20000121,000000,11356.26,11513.87,11113.65,11251.71,1209800000,0
^DJI,D,20000124,000000,11251.94,11501.15,10849.01,11008.17,1115800000,0
^DJI,D,20000125,000000,11010.96,11228.75,10779.83,11029.89,1073700000,0
^DJI,D,20000126,000000,11025.85,11280.87,10870.73,11032.99,1117300000,0
^DJI,D,20000127,000000,11035.55,11274.36,10818.30,11028.02,1129500000,0
^DJI,D,20000128,000000,11024.92,11115.20,10649.21,10738.87,1095800000,0
^DJI,D,20000131,000000,10735.77,11059.67,10610.43,10940.53,993800000,0
^DJI,D,20000201,000000,10937.74,11187.18,10798.44,11041.05,981000000,0
^DJI,D,20000202,000000,11037.64,11228.44,10876.00,11003.20,1038600000,0
^DJI,D,20000203,000000,11010.48,11207.97,10799.68,11013.44,1146500000,0
^DJI,D,20000204,000000,11014.37,11200.83,10847.54,10963.80,1045100000,0
^DJI,D,20000207,000000,10965.97,11097.52,10732.67,10905.79,918100000,0
^DJI,D,20000208,000000,10904.26,11139.40,10826.67,10957.60,1047700000,0
^DJI,D,20000209,000000,10948.82,11016.54,10647.97,10699.16,1050500000,0
^DJI,D,20000210,000000,10697.92,10853.67,10491.30,10643.63,1058800000,0
^DJI,D,20000211,000000,10638.64,10763.38,10301.12,10425.21,1025700000,0
^DJI,D,20000214,000000,10431.65,10674.96,10327.56,10519.84,927300000,0
^DJI,D,20000215,000000,10520.15,10821.09,10377.44,10718.09,1092100000,0
^DJI,D,20000216,000000,10711.82,10831.64,10468.65,10561.41,1018800000,0
^DJI,D,20000217,000000,10565.76,10768.66,10348.66,10514.57,1034800000,0
^DJI,D,20000218,000000,10514.57,10562.34,10129.24,10219.52,1042300000,0
^DJI,D,20000222,000000,10219.83,10446.62,10011.66,10304.84,980000000,0
^DJI,D,20000223,000000,10294.82,10443.21,10077.74,10225.73,993700000,0
^DJI,D,20000224,000000,10242.48,10321.90,9877.94,10092.63,1215000000,0
^DJI,D,20000225,000000,10090.77,10196.02,9767.80,9862.12,1065200000,0
^DJI,D,20000228,000000,9854.66,10228.52,9760.36,10038.65,1026500000,0
^DJI,D,20000229,000000,10039.58,10332.14,9926.65,10128.31,1204300000,0
^DJI,D,20000301,000000,10128.11,10355.72,9935.96,10137.93,1274100000,0
^DJI,D,20000302,000000,10135.44,10361.61,9986.53,10164.92,1198600000,0
^DJI,D,20000303,000000,10171.12,10581.89,10148.16,10367.20,1150300000,0
^DJI,D,20000306,000000,10358.96,10518.91,10038.65,10170.50,1029000000,0
^DJI,D,20000307,000000,10197.61,10208.66,9651.77,9796.03,1314100000,0
^DJI,D,20000308,000000,9800.69,10037.41,9611.75,9856.53,1203000000,0
^DJI,D,20000309,000000,9855.29,10097.28,9667.28,10010.73,1123000000,0
^DJI,D,20000310,000000,10008.55,10211.77,9792.93,9928.82,1138800000,0
^DJI,D,20000313,000000,9911.22,10111.25,9670.07,9947.13,1016100000,0
^DJI,D,20000314,000000,9957.67,10149.41,9747.33,9811.24,1094000000,0
^DJI,D,20000315,000000,9808.15,10294.60,9676.90,10131.41,1302800000,0
^DJI,D,20000316,000000,10139.58,10716.23,10139.58,10630.60,1482300000,0
^DJI,D,20000317,000000,10629.98,10849.32,10399.15,10595.23,1295100000,0
^DJI,D,20000320,000000,10594.75,10866.08,10456.86,10680.24,920800000,0
^DJI,D,20000321,000000,10680.24,11012.20,10515.50,10907.34,1065900000,0
^DJI,D,20000322,000000,10916.96,11054.71,10671.86,10866.70,1075000000,0
^DJI,D,20000323,000000,10884.38,11224.72,10737.63,11119.86,1078300000,0
^DJI,D,20000324,000000,11107.45,11311.28,10901.44,11112.72,1052200000,0
^DJI,D,20000327,000000,11093.25,11274.98,10881.90,11025.85,901000000,0
^DJI,D,20000328,000000,11023.68,11192.76,10804.65,10936.11,959100000,0
^DJI,D,20000329,000000,10939.05,11214.48,10792.24,11018.72,1061900000,0
^DJI,D,20000330,000000,11008.17,11258.23,10796.58,10980.25,1193400000,0
^DJI,D,20000331,000000,10993.28,11244.58,10801.23,10921.92,1227400000,0
^DJI,D,20000403,000000,10863.28,11344.17,10821.71,11221.93,1021700000,0
^DJI,D,20000404,000000,11225.34,11531.24,10682.72,11164.84,1515460000,0
^DJI,D,20000405,000000,11163.29,11326.79,10894.00,11033.92,1110300000,0
^DJI,D,20000406,000000,11029.56,11303.83,10921.07,11114.27,1008000000,0
^DJI,D,20000407,000000,11122.03,11317.79,10932.78,11111.48,891600000,0
^DJI,D,20000410,000000,11114.89,11404.35,10955.43,11186.56,853700000,0
^DJI,D,20000411,000000,11180.98,11459.58,11024.22,11287.08,971400000,0
^DJI,D,20000412,000000,11283.05,11600.43,11026.47,11125.13,1175900000,0
^DJI,D,20000413,000000,11132.58,11290.80,10806.51,10923.55,1032000000,0
^DJI,D,20000414,000000,10922.85,10922.85,10173.92,10305.77,1279700000,0
^DJI,D,20000417,000000,10303.29,10721.50,10128.62,10582.51,1204700000,0
^DJI,D,20000418,000000,10584.02,10941.78,10424.90,10767.42,1109400000,0
^DJI,D,20000419,000000,10748.97,10909.20,10503.40,10674.96,1001400000,0
^DJI,D,20000420,000000,10668.19,10941.47,10582.51,10844.05,896200000,0
^DJI,D,20000424,000000,10822.33,11060.29,10579.10,10906.10,868700000,0
^DJI,D,20000425,000000,10916.65,11265.67,10764.62,11124.82,1071100000,0
^DJI,D,20000426,000000,11127.92,11246.75,10816.44,10945.50,999600000,0
^DJI,D,20000427,000000,10941.91,11024.61,10650.14,10888.10,1111000000,0
^DJI,D,20000428,000000,10892.76,11005.07,10632.46,10733.91,984600000,0
^DJI,D,20000501,000000,10749.42,11001.34,10622.22,10811.78,966300000,0
^DJI,D,20000502,000000,10805.58,10932.47,10580.65,10731.12,1011500000,0
^DJI,D,20000503,000000,10732.21,10754.39,10345.17,10480.13,991600000,0
^DJI,D,20000504,000000,10478.89,10631.53,10293.05,10412.49,925800000,0
^DJI,D,20000505,000000,10409.70,10688.61,10312.91,10577.86,805500000,0
^DJI,D,20000508,000000,10571.31,10744.22,10400.40,10603.63,787600000,0
^DJI,D,20000509,000000,10607.54,10765.75,10435.96,10536.75,896600000,0
^DJI,D,20000510,000000,10533.09,10649.95,10169.77,10367.78,1006400000,0
^DJI,D,20000511,000000,10369.27,10676.88,10315.69,10545.97,953600000,0
^DJI,D,20000512,000000,10549.06,10780.37,10444.54,10609.37,858200000,0
^DJI,D,20000515,000000,10606.97,10902.36,10509.31,10807.78,854600000,0
^DJI,D,20000516,000000,10816.01,11086.72,10723.48,10934.57,955500000,0
^DJI,D,20000517,000000,10930.64,10947.25,10648.78,10769.74,820500000,0
^DJI,D,20000518,000000,10771.80,10938.34,10669.00,10777.28,807900000,0
^DJI,D,20000519,000000,10764.22,10821.83,10468.18,10626.85,853700000,0
^DJI,D,20000522,000000,10624.79,10718.00,10308.15,10542.55,869000000,0
^DJI,D,20000523,000000,10539.12,10671.74,10325.63,10422.27,869900000,0
^DJI,D,20000524,000000,10420.90,10679.53,10240.99,10535.35,1152300000,0
^DJI,D,20000525,000000,10529.87,10644.32,10207.75,10323.92,984500000,0
