Date,Open,High,Low,Close,Volume,Adj Close
2014-09-26,1094.46,1104.69,1094.28,1102.81,000,1102.81
2014-09-25,1109.26,1109.26,1093.55,1093.55,000,1093.55
2014-09-24,1103.26,1112.12,1100.43,1111.21,000,1111.21
2014-09-23,1106.97,1110.15,1102.77,1102.77,000,1102.77
2014-09-22,1118.14,1118.14,1107.62,1109.38,000,1109.38
2014-09-19,1121.88,1124.75,1117.14,1119.45,000,1119.45
2014-09-18,1117.17,1121.09,1117.17,1120.53,000,1120.53
2014-09-17,1114.56,1120.69,1110.87,1115.50,000,1115.50
2014-09-16,1104.14,1115.81,1103.03,1114.07,000,1114.07
2014-09-15,1107.72,1107.72,1103.25,1105.81,000,1105.81
2014-09-12,1113.93,1113.93,1104.87,1107.77,000,1107.77
2014-09-11,1111.51,1114.88,1108.41,1114.79,000,1114.79
2014-09-10,1109.95,1114.05,1106.44,1113.56,000,1113.56
2014-09-09,1116.63,1116.63,1107.58,1109.61,000,1109.61
2014-09-08,1119.61,1120.11,1113.70,1117.14,000,1117.14
2014-09-05,1114.31,1120.11,1110.34,1120.11,000,1120.11
2014-09-04,1117.44,1122.17,1111.74,1114.56,000,1114.56
2014-09-03,1119.81,1121.64,1115.16,1116.59,000,1116.59
2014-09-02,1118.88,1119.62,1113.59,1117.77,000,1117.77
2014-08-29,1115.54,1117.71,1112.67,1117.71,000,1117.71
2014-08-28,1112.91,1114.74,1110.11,1113.70,000,1113.70
2014-08-27,1116.16,1116.86,1113.46,1115.58,000,1115.58
2014-08-26,1114.72,1118.31,1114.72,1115.59,000,1115.59
2014-08-25,1112.16,1116.32,1112.16,1114.15,000,1114.15
2014-08-22,1110.39,1111.39,1106.62,1108.97,000,1108.97
2014-08-21,1108.39,1112.02,1107.70,1110.76,000,1110.76
2014-08-20,1103.89,1108.90,1102.70,1107.82,000,1107.82
2014-08-19,1101.00,1105.55,1101.00,1105.05,000,1105.05
2014-08-18,1093.50,1099.77,1093.50,1099.74,000,1099.74
2014-08-15,1092.35,1094.98,1082.59,1090.13,000,1090.13
2014-08-14,1086.30,1090.05,1086.06,1090.04,000,1090.04
2014-08-13,1080.63,1086.07,1080.17,1085.22,000,1085.22
2014-08-12,1078.74,1081.38,1074.63,1077.69,000,1077.69
2014-08-11,1078.45,1084.24,1078.45,1079.77,000,1079.77
2014-08-08,1065.39,1076.76,1064.02,1076.35,000,1076.35
2014-08-07,1072.68,1074.84,1061.73,1064.39,000,1064.39
2014-08-06,1067.65,1074.47,1065.12,1070.04,000,1070.04
2014-08-05,1077.96,1078.79,1066.69,1070.33,000,1070.33
2014-08-04,1074.07,1082.39,1070.32,1080.25,000,1080.25
2014-08-01,1074.09,1079.40,1067.41,1072.69,000,1072.69
2014-07-31,1092.62,1092.62,1075.60,1075.60,000,1075.60
2014-07-30,1099.73,1102.12,1093.24,1097.38,000,1097.38
2014-07-29,1102.40,1105.13,1096.85,1096.85,000,1096.85
2014-07-28,1101.58,1103.22,1095.38,1101.67,000,1101.67
2014-07-25,1104.70,1104.70,1099.73,1101.74,000,1101.74
2014-07-24,1107.54,1109.28,1105.96,1107.17,000,1107.17
2014-07-23,1105.75,1107.69,1103.86,1106.56,000,1106.56
2014-07-22,1101.14,1106.18,1101.02,1104.54,000,1104.54
2014-07-21,1099.28,1100.15,1094.53,1098.94,000,1098.94
2014-07-18,1091.81,1102.32,1091.55,1101.49,000,1101.49
2014-07-17,1100.82,1103.28,1088.57,1089.98,000,1089.98
2014-07-16,1101.90,1104.79,1099.68,1102.88,000,1102.88
2014-07-15,1101.71,1104.33,1094.31,1098.77,000,1098.77
2014-07-14,1099.31,1103.10,1099.31,1101.33,000,1101.33
2014-07-11,1094.74,1096.69,1091.74,1096.08,000,1096.08
2014-07-10,1094.71,1097.76,1087.67,1094.73,000,1094.73
2014-07-09,1095.82,1099.89,1094.68,1099.22,000,1099.22
2014-07-08,1100.95,1100.95,1091.44,1094.18,000,1094.18
2014-07-07,1106.38,1106.38,1101.13,1102.53,000,1102.53
2014-07-03,1105.59,1107.84,1104.39,1107.81,000,1107.81
2014-07-02,1102.00,1103.42,1100.92,1101.97,000,1101.97
2014-07-01,1096.56,1105.07,1096.51,1102.02,000,1102.02
2014-06-30,1094.33,1096.25,1093.23,1094.59,000,1094.59
2014-06-27,1090.94,1094.54,1089.49,1094.28,000,1094.28
2014-06-26,1092.66,1092.78,1084.85,1091.85,000,1091.85
2014-06-25,1086.87,1093.83,1086.31,1093.14,000,1093.14
2014-06-24,1093.92,1098.23,1086.84,1087.72,000,1087.72
2014-06-23,1095.21,1095.92,1093.11,1095.02,000,1095.02
2014-06-20,1093.94,1095.58,1093.55,1095.13,000,1095.13
2014-06-19,1092.28,1093.47,1089.18,1093.14,000,1093.14
2014-06-18,1083.96,1092.06,1082.12,1091.70,000,1091.70
2014-06-17,1080.08,1084.75,1078.48,1083.65,000,1083.65
2014-06-16,1078.87,1082.64,1076.97,1080.79,000,1080.79
2014-06-13,1077.94,1080.62,1074.92,1079.93,000,1079.93
2014-06-12,1083.13,1083.35,1074.06,1076.51,000,1076.51
2014-06-11,1085.93,1085.93,1081.90,1084.09,000,1084.09
2014-06-10,1087.42,1087.83,1084.28,1087.80,000,1087.80
2014-06-09,1092.16,1092.16,1085.98,1088.33,000,1088.33
2014-06-06,1083.80,1087.36,1083.80,1087.31,000,1087.31
2014-06-05,1075.65,1083.00,1072.30,1082.28,000,1082.28
2014-06-04,1071.33,1075.40,1069.54,1075.07,000,1075.07
2014-06-03,1071.59,1073.22,1069.61,1072.77,000,1072.77
2014-06-02,1072.82,1073.65,1067.65,1073.15,000,1073.15
2014-05-30,1070.08,1072.25,1068.39,1071.96,000,1071.96
2014-05-29,1066.36,1070.49,1064.78,1070.48,000,1070.48
2014-05-28,1066.14,1067.38,1063.15,1064.83,000,1064.83
2014-05-27,1061.83,1066.34,1061.83,1066.10,000,1066.10
2014-05-23,1056.13,1060.19,1055.56,1059.76,000,1059.76
2014-05-22,1052.44,1057.27,1050.92,1055.06,000,1055.06
2014-05-21,1045.35,1052.77,1045.35,1052.27,000,1052.27
2014-05-20,1050.62,1050.62,1041.33,1043.98,000,1043.98
2014-05-19,1045.24,1051.74,1043.88,1051.22,000,1051.22
2014-05-16,1043.39,1047.05,1039.46,1046.89,000,1046.89
2014-05-15,1051.99,1051.99,1037.57,1043.06,000,1043.06
